NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,cuisine_category,TIMING,RATING_TYPE,RATING,VOTES,tags
La Folie Lab,1400,"Cafe,Healthy Food,Desserts,Beverages",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/la-folie-lab-hill-road-bandra-west/info,102,Gluten-Free,"830am to 11pm(Mon-Fri),830am to 12midnight...",Very Good,4.2,877,"Work-Friendly, Desserts Available, Outdoor Seating"
Cafe Monza,1000,"Italian,American,Salad,Mexican",Mumbai,Kharghar,https://www.zomato.com/mumbai/cafe-monza-kharghar-navi-mumbai/info,106,"American, Dessert Café","10am to 11pm(Mon),8am to 11pm(Tue-Sun)",Excellent,4.5,3389,"No Parking, Indoor Seating, Kid-Friendly"
Blue Tokai Coffee Roasters,550,Cafe,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/blue-tokai-coffee-roasters-pali-hill-bandra-west/info,106,"American, Vegan","8am to 11pm(Mon,Tue,Fri,Sat,Sun),6pm to 11pm...",Very Good,4.1,366,"Breakfast Menu, Family Seating, Loyalty Program"
Cafe Irani Chaii,400,"Parsi,Iranian",Mumbai,Mahim,https://www.zomato.com/mumbai/cafe-irani-chaii-mahim/info,113,Bakery & Desserts,7am to 11pm(Mon-Sun),Very Good,4.3,1113,"Happy Hours, Specialty Coffee Beans, Desserts Available, Indoor Seating, Filtered Water Available, Wi-Fi Available"
The Yoga House,1500,"Cafe,Healthy Food",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/the-yoga-house-carter-road-bandra-west/info,114,"Organic / Healthy, French","Closed(Mon),8am to 1030pm(Tue-Sun)",Very Good,4.1,1214,"Pet-Friendly, Kid-Friendly, Work-Friendly, Specialty Coffee Beans, Wheelchair Accessible, Quiet / Study-Friendly"
Bistro 1,1000,"European,Burger,Salad,Healthy Food,Continental",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/bistro1/info,12,"Italian, Chocolate Café","9am to 1230AM(Mon,Tue,Wed,Fri,Sat,Sun)...",Very Good,4.1,1381,"No Parking, Outdoor Seating, Rooftop Cafe, Charging Ports"
The Noisy Cafe,500,"Cafe,North Indian,Italian,Chinese",Mumbai,Malad West,https://www.zomato.com/mumbai/the-noisy-cafe-malad-west/info,126,Italian,12noon to 12midnight(Mon-Sun),Very Good,4.4,353,"Breakfast Menu, Live Music, Zero Waste Practices, Specialty Coffee Beans"
Bombay Coffee House,750,"Cafe,American,Desserts,Sandwich,European",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/bombay-coffee-house-linking-road-bandra-west/info,13,"Organic / Healthy, Fusion",9am to 1230AM(Mon-Sun),Good,3.9,2031,"Quiet / Study-Friendly, Happy Hours, Digital Payments Accepted"
The Coffee Bean & Tea Leaf,600,"Cafe,Desserts,Tea",Mumbai,High Street Phoenix-- Lower Parel,https://www.zomato.com/mumbai/the-coffee-bean-tea-leaf-1-lower-parel/info,134,Asian Fusion,830am to 11pm(Mon-Sun),Good,3.8,299,"Specialty Coffee Beans, Quiet / Study-Friendly, Vegan Options, Indoor Seating"
Cafe Noorani,750,"Mughlai,North Indian,Biryani,Chinese",Mumbai,Tardeo,https://www.zomato.com/mumbai/cafe-noorani-tardeo/info,134,Dessert Café,8am to 12midnight(Mon-Sun),Good,3.7,1437,"Digital Payments Accepted, Breakfast Menu, Open Mic"
Starbucks Coffee,700,"Cafe,Desserts",Mumbai,Viviana Mall-- Majiwada-- Thane West,https://www.zomato.com/mumbai/starbucks-coffee-majiwada-thane-west-thane/info,134,Indian Street Café,11am to 11pm(Mon-Sun),Very Good,4.3,840,"Instagrammable, Work-Friendly, Eco-Friendly, Solar Powered, Gluten-Free Options"
Green Village Cafe,1100,"Healthy Food,Continental,Cafe,Salad,Italian",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/green-village-cafe-1-oshiwara/info,14,Chocolate Café,9am to 3am(Mon-Sun),Very Good,4.3,707,"Student Discounts, Eco-Friendly, Work-Friendly, Digital Payments Accepted, Vegan Options"
The Bagel Shop,900,"Cafe,American,Beverages",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/the-bagel-shop-carter-road-bandra-west/info,140,Gluten-Free,9am to 1130pm(Mon-Sun),Good,3.9,1736,"Zero Waste Practices, Loyalty Program, Desserts Available, Charging Ports"
Chai Pe Charcha,500,"Cafe,Fast Food,Tea",Mumbai,Vikhroli,https://www.zomato.com/mumbai/chai-pe-charcha-vikhroli/info,140,Juice & Smoothie Bar,7am to 11pm(Mon-Sun),Very Good,4.2,41,"Rooftop Cafe, Solar Powered, Zero Waste Practices, Vegan Options, Digital Payments Accepted, Kid-Friendly"
The Burrow Cafe,600,"Cafe,American,Continental",Mumbai,Malad West,https://www.zomato.com/mumbai/the-burrow-cafe-malad-west/info,145,"Bakery & Desserts, Coffee & Beverages",8am to 12midnight(Mon-Sun),Very Good,4.1,401,"Happy Hours, Digital Payments Accepted, Cozy / Fireplace"
Silver Beach Cafe,2000,"European,Italian,Seafood,Salad",Mumbai,Juhu,https://www.zomato.com/mumbai/silver-beach-cafe-juhu/info,16,"Coffee & Beverages, Chocolate Café",7am to 1am(Mon-Sun),Very Good,4,1810,"Vegan Options, Solar Powered, Family Seating, Kid-Friendly, Alcohol Served, Desserts Available"
Cafe Churchill,1200,"Continental,Italian,Seafood,Salad",Mumbai,Colaba,https://www.zomato.com/mumbai/cafe-churchill-colaba/info,174,Mexican,11am to 1130pm(Mon-Sun),Very Good,4.2,1605,"Gluten-Free Options, Solar Powered, Alcohol Served, Zero Waste Practices, No Parking"
Cafe Meter On,500,"Italian,Continental",Mumbai,Borivali West,https://www.zomato.com/mumbai/cafe-meter-on-1-borivali-west/info,197,"Fusion, American",12noon to 11pm(Mon-Sun),Good,3.8,238,"Specialty Coffee Beans, Family Seating, Instagrammable, Zero Waste Practices"
The Little Easy,1500,"Finger Food,Asian,Modern Indian,Italian,Mediterranean",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/the-little-easy-linking-road-bandra-west/info,2,Tea House,12noon to 1am(Mon-Sun),Very Good,4.3,2256,"Gluten-Free Options, No Parking, Desserts Available, Breakfast Menu, Pet-Friendly"
Snack & The Beanstock,800,"Cafe,Burger,Sandwich,Italian,North Indian",Mumbai,Goregaon East,https://www.zomato.com/mumbai/snack-the-beanstock-goregaon-east/info,200,Dessert Café,9am to 1130pm(Mon-Sun),Good,3.8,528,"Eco-Friendly, Pet-Friendly, Solar Powered, No Parking, Loyalty Program"
Mockingbird Cafe Bar,1700,"Cafe,Italian,French,Salad",Mumbai,Churchgate,https://www.zomato.com/mumbai/mockingbird-cafe-bar-churchgate/info,21,Tea House,9am to 1230AM(Mon-Sun),Very Good,4.1,1165,"Wheelchair Accessible, Quiet / Study-Friendly, Live Music, Eco-Friendly"
The Rey's Cafe,700,"Mexican,Fast Food,Desserts,Beverages",Mumbai,Malad West,https://www.zomato.com/mumbai/the-reys-cafe-malad-west/info,212,"Vegan, Vegetarian","12midnight to 3am,9am to 12midnight(Mon),Closed...",Good,3.5,36,"Instagrammable, Work-Friendly, Open Mic, Wheelchair Accessible"
Cafe Universal,1100,"Parsi,Continental,Fast Food,North Indian,Chinese",Mumbai,Fort,https://www.zomato.com/mumbai/cafe-universal-fort/info,227,"Fusion, Chocolate Café","930am to 11pm(Mon-Sat),5pm to 1130pm(Sun)",Good,3.8,760,"Desserts Available, Parking Available, Breakfast Menu, Charging Ports, Loyalty Program, Filtered Water Available"
Ideal Corner,450,Parsi,Mumbai,Fort,https://www.zomato.com/mumbai/ideal-corner-fort/info,230,"Breakfast & Brunch, Gluten-Free","Closed(Mon),12noon to 10pm(Tue-Sun)",Very Good,4,426,"Student Discounts, Family Seating, Solar Powered"
Cafe Creme,200,"Cafe,Desserts,Beverages",Mumbai,Kharghar,https://www.zomato.com/mumbai/cafe-creme-3-kharghar-navi-mumbai/info,235,Italian,9am to 11pm(Mon-Sun),Good,3.7,46,"Specialty Coffee Beans, Student Discounts, Wi-Fi Available, Gluten-Free Options"
Café 792,400,"Parsi,Fast Food",Mumbai,Dadar East,https://www.zomato.com/mumbai/café-792-dadar-east/info,235,"Dessert Café, Asian Fusion","10am to 730pm(Mon-Sat),Closed(Sun)",Good,3.9,274,"Live Music, Solar Powered, Outdoor Seating"
The Chimney Factory,400,"Desserts,Beverages",Mumbai,Dadar Shivaji Park,https://www.zomato.com/mumbai/the-chimney-factory-dadar-shivaji-park/info,24,American,930am to 1am(Mon-Sun),Very Good,4.4,97,"Cozy / Fireplace, Wi-Fi Available, Work-Friendly"
Love & Latte,700,"Cafe,Desserts",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/love-latte-versova/info,24,"Chocolate Café, American",9am to 1am(Mon-Sun),Very Good,4.2,76,"Cozy / Fireplace, Alcohol Served, Happy Hours"
Cafe Creme,300,"Fast Food,Beverages",Mumbai,Kalyan,https://www.zomato.com/mumbai/cafe-creme-1-kalyan-thane/info,242,Gluten-Free,130pm to 11pm(Mon-Sun),Average,3.4,13,"Gluten-Free Options, Alcohol Served, Vegan Options, Breakfast Menu"
Cafe Condi,800,"Continental,French,Desserts",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/cafe-condi-1-hill-road-bandra-west/info,260,"American, Coffee & Beverages","11am to 11pm(Mon-Fri),8am to 11pm(Sat-Sun)",Good,3.9,86,"Parking Available, Eco-Friendly, No Parking, Outdoor Seating, Vegan Options"
Tasty Bites,200,Rolls,Mumbai,Santacruz West,https://www.zomato.com/mumbai/tasty-bites-1-santacruz-west/info,264,"Indian Street Café, Middle Eastern","930am to 930pm(Mon-Sat),330pm to 10pm(Sun)",Good,3.6,38,"Wi-Fi Available, Breakfast Menu, Alcohol Served, Family Seating"
Cafe Royal,1600,"Italian,North Indian,Continental,Mexican",Mumbai,Colaba,https://www.zomato.com/mumbai/cafe-royal-colaba/info,27,Italian,11am to 1am(Mon-Sun),Very Good,4.2,1035,"Breakfast Menu, Open Mic, Student Discounts, Instagrammable, Wheelchair Accessible"
Cafe Gulshan,400,"Chinese,North Indian,Mughlai,Biryani,Seafood",Mumbai,Jogeshwari,https://www.zomato.com/mumbai/cafe-gulshan-jogeshwari/info,270,"Asian Fusion, Tea House",730am to 12midnight(Mon-Sun),Good,3.6,100,"Digital Payments Accepted, Rooftop Cafe, Family Seating, Vegan Options, Open Mic"
Cafe Gulshan,700,"North Indian,Mughlai,Chinese,Fast Food",Mumbai,Matunga East,https://www.zomato.com/mumbai/cafe-gulshan-matunga-east/info,280,"Indian Street Café, Juice & Smoothie Bar",930am to 11pm(Mon-Sun),Good,3.8,525,"Vegan Options, Work-Friendly, Digital Payments Accepted, Wheelchair Accessible, Wi-Fi Available"
Tasty Bites,500,"Chinese,North Indian",Mumbai,Dahisar East,https://www.zomato.com/mumbai/tasty-bites-dahisar-east/info,281,"Breakfast & Brunch, American",6pm to 12midnight(Mon-Sun),Good,3.5,44,"Solar Powered, Pet-Friendly, Outdoor Seating, Quiet / Study-Friendly"
Cafe Udipi,500,"North Indian,Chinese,Fast Food,South Indian,Beverages",Mumbai,Chembur,https://www.zomato.com/mumbai/cafe-udipi-chembur/info,305,"Coffee & Beverages, Asian Fusion","7am to 11pm(Mon,Tue,Thu,Fri,Sat,Sun),Closed...",Good,3.7,185,"Specialty Coffee Beans, Indoor Seating, Digital Payments Accepted"
Prithvi Cafe,700,"Cafe,Fast Food",Mumbai,Juhu,https://www.zomato.com/mumbai/prithvi-cafe-juhu/info,31,"Coffee & Beverages, Gluten-Free",1030am to 1030pm(Mon-Sun),Very Good,4.4,8000,"Breakfast Menu, Instagrammable, Wheelchair Accessible, Eco-Friendly"
Cafe Creme,500,"Cafe,Desserts,Fast Food",Mumbai,Nerul,https://www.zomato.com/mumbai/cafe-creme-3-nerul-navi-mumbai/info,316,Dessert Café,11am to 12midnight(Mon-Sun),Good,3.5,17,"Rooftop Cafe, Quiet / Study-Friendly, Happy Hours, Charging Ports, Specialty Coffee Beans"
Qutuz Irani Cafe,400,"Fast Food,Chinese",Mumbai,Kandivali West,https://www.zomato.com/mumbai/qutuz-irani-cafe-kandivali-west/info,319,Vegan,7am to 4am(Mon-Sun),Average,3,6,"Zero Waste Practices, Work-Friendly, Filtered Water Available, Wheelchair Accessible, Rooftop Cafe"
Tea Post,200,"Fast Food,Tea,Beverages",Mumbai,Kandivali East,https://www.zomato.com/mumbai/tea-post-kandivali-east/info,330,Breakfast & Brunch,11am to 11pm(Mon-Sun),Average,3.1,5,"Gluten-Free Options, Charging Ports, Happy Hours, Open Mic, Specialty Coffee Beans"
