NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
La Folie Lab,1400,"Cafe,Healthy Food,Desserts,Beverages",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/la-folie-lab-hill-road-bandra-west/info,102,Café,"830am to 11pm(Mon-Fri),830am to 12midnight...",Very Good,4.2,877
Cafe Monza,1000,"Italian,American,Salad,Mexican",Mumbai,Kharghar,https://www.zomato.com/mumbai/cafe-monza-kharghar-navi-mumbai/info,106,Casual Dining,"10am to 11pm(Mon),8am to 11pm(Tue-Sun)",Excellent,4.5,3389
Blue Tokai Coffee Roasters,550,Cafe,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/blue-tokai-coffee-roasters-pali-hill-bandra-west/info,106,Café,"8am to 11pm(Mon,Tue,Fri,Sat,Sun),6pm to 11pm...",Very Good,4.1,366
Cafe Irani Chaii,400,"Parsi,Iranian",Mumbai,Mahim,https://www.zomato.com/mumbai/cafe-irani-chaii-mahim/info,113,Quick Bites,7am to 11pm(Mon-Sun),Very Good,4.3,1113
The Yoga House,1500,"Cafe,Healthy Food",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/the-yoga-house-carter-road-bandra-west/info,114,Café,"Closed(Mon),8am to 1030pm(Tue-Sun)",Very Good,4.1,1214
Bistro 1,1000,"European,Burger,Salad,Healthy Food,Continental",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/bistro1/info,12,Casual Dining,"9am to 1230AM(Mon,Tue,Wed,Fri,Sat,Sun)...",Very Good,4.1,1381
The Noisy Cafe,500,"Cafe,North Indian,Italian,Chinese",Mumbai,Malad West,https://www.zomato.com/mumbai/the-noisy-cafe-malad-west/info,126,Café,12noon to 12midnight(Mon-Sun),Very Good,4.4,353
Bombay Coffee House,750,"Cafe,American,Desserts,Sandwich,European",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/bombay-coffee-house-linking-road-bandra-west/info,13,Café,9am to 1230AM(Mon-Sun),Good,3.9,2031
The Coffee Bean & Tea Leaf,600,"Cafe,Desserts,Tea",Mumbai,High Street Phoenix-- Lower Parel,https://www.zomato.com/mumbai/the-coffee-bean-tea-leaf-1-lower-parel/info,134,Café,830am to 11pm(Mon-Sun),Good,3.8,299
Cafe Noorani,750,"Mughlai,North Indian,Biryani,Chinese",Mumbai,Tardeo,https://www.zomato.com/mumbai/cafe-noorani-tardeo/info,134,Casual Dining,8am to 12midnight(Mon-Sun),Good,3.7,1437
Starbucks Coffee,700,"Cafe,Desserts",Mumbai,Viviana Mall-- Majiwada-- Thane West,https://www.zomato.com/mumbai/starbucks-coffee-majiwada-thane-west-thane/info,134,Café,11am to 11pm(Mon-Sun),Very Good,4.3,840
Green Village Cafe,1100,"Healthy Food,Continental,Cafe,Salad,Italian",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/green-village-cafe-1-oshiwara/info,14,Café,9am to 3am(Mon-Sun),Very Good,4.3,707
The Bagel Shop,900,"Cafe,American,Beverages",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/the-bagel-shop-carter-road-bandra-west/info,140,Café,9am to 1130pm(Mon-Sun),Good,3.9,1736
Chai Pe Charcha,500,"Cafe,Fast Food,Tea",Mumbai,Vikhroli,https://www.zomato.com/mumbai/chai-pe-charcha-vikhroli/info,140,Café,7am to 11pm(Mon-Sun),Very Good,4.2,41
The Burrow Cafe,600,"Cafe,American,Continental",Mumbai,Malad West,https://www.zomato.com/mumbai/the-burrow-cafe-malad-west/info,145,Café,8am to 12midnight(Mon-Sun),Very Good,4.1,401
Silver Beach Cafe,2000,"European,Italian,Seafood,Salad",Mumbai,Juhu,https://www.zomato.com/mumbai/silver-beach-cafe-juhu/info,16,Casual Dining,7am to 1am(Mon-Sun),Very Good,4.0,1810
Cafe Churchill,1200,"Continental,Italian,Seafood,Salad",Mumbai,Colaba,https://www.zomato.com/mumbai/cafe-churchill-colaba/info,174,Casual Dining,11am to 1130pm(Mon-Sun),Very Good,4.2,1605
Cafe Meter On,500,"Italian,Continental",Mumbai,Borivali West,https://www.zomato.com/mumbai/cafe-meter-on-1-borivali-west/info,197,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.8,238
The Little Easy,1500,"Finger Food,Asian,Modern Indian,Italian,Mediterranean",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/the-little-easy-linking-road-bandra-west/info,2,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.3,2256
Snack & The Beanstock,800,"Cafe,Burger,Sandwich,Italian,North Indian",Mumbai,Goregaon East,https://www.zomato.com/mumbai/snack-the-beanstock-goregaon-east/info,200,Café,9am to 1130pm(Mon-Sun),Good,3.8,528
Mockingbird Cafe Bar,1700,"Cafe,Italian,French,Salad",Mumbai,Churchgate,https://www.zomato.com/mumbai/mockingbird-cafe-bar-churchgate/info,21,Café,9am to 1230AM(Mon-Sun),Very Good,4.1,1165
The Rey's Cafe,700,"Mexican,Fast Food,Desserts,Beverages",Mumbai,Malad West,https://www.zomato.com/mumbai/the-reys-cafe-malad-west/info,212,Quick Bites,"12midnight to 3am,9am to 12midnight(Mon),Closed...",Good,3.5,36
Cafe Universal,1100,"Parsi,Continental,Fast Food,North Indian,Chinese",Mumbai,Fort,https://www.zomato.com/mumbai/cafe-universal-fort/info,227,Casual Dining,"930am to 11pm(Mon-Sat),5pm to 1130pm(Sun)",Good,3.8,760
